               uid                |       mid        |                                                                                                                                       blog_content                                                                                                                                       
----------------------------------+------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 0a2967415487d1ed2a19176e4d78eb11 | 3859902152195047 | 【梦境之旅：新西兰】一个羊群为伴的国度——新西兰，感觉就像进入羊村一般，处处充满了小清新浪漫的感觉；真正的美景是带不回来的，只有身临其境，才会感受到那份旅途中最美的风光和愉快的心情。
 0a3be90ff25ab2c785c70cf3e88f0a65 | 3859585096325688 | 我正在申请微博认证，认证信息为“大连万达商业地产股份有限公司 建筑规划设计员”。请@我疯狂而不浪漫 @海悦路桥建筑公司会计 转发此条微博帮我确认身份，多谢！！ 
 0a3c242993d50b1db70771b9036c60c8 | 3859944506006191 | 荣耀手机的触摸技术都是非常赞的支持啊
 0a47fe2b312a41917c6b56ac19e7ab18 | 3859731116710225 | #晨报新闻#【快递寄来海尔刮奖彩页，中100万？骗局！】昨日，家住徐州经济技术开发区圩子社区的李先生致电晨报热线反映，他收到一封快件，快件内有海尔集团为庆祝海尔电器成立30周年举办的刮大奖活动彩页，这一刮竟然中了100万大奖！不过李先生对这种骗局早已知晓，没有上当。（更多内容详见今日晨报）
 0a5f86466173fce0ac5eb97be3362439 | 3859788461333189 |  //@日麻婆协会资深会员B://@田啮的鹤嘴锄: //@阿媛_今年也要多加努力: [伤心]//@奏华小树:啥？！！ //@Ciano_青团:啊。。。//@Tranquilliano:村民的素质真是让我一醉不醒//@Feliciano费里西: //@KATOO-懒癌晚期中://@度silence: 转发量 这不应该高度重视的问题 //@D_海慕_狂躁的负能期:……"(ºДº*)
 0a65b2b02a09543cf3157fd01c632aa1 | 3859856098002658 | 发表了博文《扒扒娱乐圈20大当红明星的路人甲镜头》　　由尔冬升执导的电影《我是路人甲》即将全国上映，影片主演全部是毫无背景毫无经验的路人甲，许鞍华、刘伟强、庄文强等金牌导演出镜客串、吴彦祖、冯德伦、方
 0a761deb1b1b6feb72115d394eb0258d | 3859657703807278 | 第一季本来柳岩姐是要上的，但是因为不可抗力原因没能去成（不可抗力：怪我咯？）。美妞这是坚持全面发展可持续道路呀！棒棒哒！
 0a80076bd46fab7c009306d34bc8098a | 3859936314898749 | 完了完了完了。。真的要变成猫奴了[笑cry][笑cry][笑cry]
 0a87214802b26e5ea0a7951d92c0c3e5 | 3859801379883869 | #中国股市#【证监会回应神秘人尤良凯将接替肖钢】这个即将替代肖钢出任中国证监会主席的人充满了“神秘”色彩：网络上，查询不到任何有关“尤良凯”的简历讯息；而证监会方面对此给出的回应是—“没听说过这事儿，也不了解这个情况”(
