               uid                |       mid        |                                                                                                                                        blog_content                                                                                                                                        
----------------------------------+------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 354188b21cac2c80f515586df28f1033 | 3860194805492714 | 【杨梓澜：非农数据解读、操作策略实时指导_凤凰博报】杨梓澜：非农数据解读、操作策略实时指导  万众瞩目的非农夜就在今晚，也许你以前做过非农，也许你以前没做过。但是今天杨梓澜秉着一个金融市场分析老师的角度，我想我必… （分享自 @凤凰博报）  
 3543a5ea9d587b1aabc8a3c91c1c1e2d | 3860173476658111 | 发表了一篇转载博文《[转载]1990年的中国证券交易所和交易的股票》
 35490797af7f4194bd4ab205288648a9 | 3860059253919769 | 今日重要消息：股市暴跌监管层救市加码 连夜下达三道小金牌；国家级大数据战略浮出水面 八千亿蓝海待享；油气改革望从天然气破局 气改接力站上风口；浙商资本联谊会大佬集体发声：共同维护资本市场的繁荣
 35490797af7f4194bd4ab205288648a9 | 3860059404822526 | 【要闻：广州证券7月2日当日不强制平仓】2日讯，根据证监会最新发布的《证券公司融资融券业务管理办法》精神，广州证券在风险可控的前提下，为维护客户利益，在征得客户同意后，对原应于2015年7月2日强制平仓的融资账户当日不强制平仓。
 35490797af7f4194bd4ab205288648a9 | 3860060654555187 | 　　总结下：1利好-交易费下调；2利好：预计管理层短期内会出大招救市；3利空：今日新一轮IPO又来了；4利空-上周银证转出1.9万亿资金，净转出1.1万亿，是历史之最，目前资金面缺口非常非常非常大。目前这种混乱的局面唯有国家队真正出手以大量资金托市才能真正让市场回到正轨，让投资者重拾信心
 35490797af7f4194bd4ab205288648a9 | 3860277231634986 | 2015年07月02日 21:45:48  【证监会新闻发言人张晓军答记者问】根据证券和期货交易所市场监察异动报告，证监会决定组织稽查执法力量对涉嫌市场操纵，特别是跨市场操纵的违法违规线索进行专项核查。对于符合立案标准的将立即立案稽查，严肃依法打击，涉嫌犯罪的，坚决移送公安机关查办！
 35490797af7f4194bd4ab205288648a9 | 3859972108621889 | 【你好，明天】降低交易经手费，拓宽券商融资渠道。深夜，证监会连发“福利”，利多消息一波接一波。急涨急跌都不正常，公众需要的是一个有稳定预期、公开透明的市场。股市，今天见。
 35490797af7f4194bd4ab205288648a9 | 3860287268666472 | 【刘益谦自曝两日投十亿入市】2日讯，刘益谦今晚在其微信朋友圈发布消息，自曝两日差不多投入十亿进入资本市场，明日还要继续。“我是中国资本市场发展壮大的既得利益者，我的财富主要来自中国资本市场，当这个市场可能发生系统性风险，当中国梦可能受到影响时，买入二级市场股票是我不二的选择”
 3555c3fc4d48e90f6e6abe9aa6afd841 | 3860244767924036 | 继恒大足球申请上市后，恒大地产(HK.3333)再次发布公告，持有100%权益的附属公司恒大文化产业集团股份有限公司已向全国中小企业股份转让系统(简称“新三板”)递交挂牌申请，于7月1日获得受理函。据悉，旗下院线板块已规划建设影城171个银幕1182块，成最大亮点。
 3555c3fc4d48e90f6e6abe9aa6afd841 | 3860238958965853 | 国际资本市场给予专注型企业的估值要高于综合型企业，将足球、文化逐一分拆上市后，恒大主营业务更加清晰，将得到资本市场更高的估值，股价上涨空间打开。
 3555c3fc4d48e90f6e6abe9aa6afd841 | 3860240443457158 | 7月2日，恒大地产（HK.3333）发布公告，持有100%权益的附属公司恒大文化产业集团股份有限公司已向全国中小企业股份转让系统（简称“新三板”）递交挂牌申请，于7月1日获得受理函。
